Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
13,tt0031971,2017-02-12,2017-02-12,,Stagecoach,https://www.imdb.com/title/tt0031971/,movie,7.9,96,1939,"Adventure, Drama, Western",39384,1939-02-10,John Ford
14,tt0032138,2017-02-12,2017-02-12,,The Wizard of Oz,https://www.imdb.com/title/tt0032138/,movie,8.0,102,1939,"Adventure, Family, Fantasy, Musical",357479,1939-08-10,"Mervyn LeRoy, Norman Taurog, George Cukor, King Vidor, Richard Thorpe, Victor Fleming"
15,tt0033467,2017-02-12,2017-02-12,,Citizen Kane,https://www.imdb.com/title/tt0033467/,movie,8.3,119,1941,"Drama, Mystery",372078,1941-05-01,Orson Welles
16,tt0035160,2017-02-12,2017-02-12,,Ossessione,https://www.imdb.com/title/tt0035160/,movie,7.7,140,1943,"Crime, Drama, Romance",6225,1943-05-31,Luchino Visconti
17,tt0037008,2017-02-12,2017-02-12,,Laura,https://www.imdb.com/title/tt0037008/,movie,8.0,88,1944,"Drama, Film-Noir, Mystery",39478,1944-10-11,Otto Preminger
18,tt0038650,2017-02-12,2017-02-12,,It's a Wonderful Life,https://www.imdb.com/title/tt0038650/,movie,8.6,130,1946,"Drama, Family, Fantasy",366874,1946-12-20,Frank Capra
19,tt0039545,2017-02-12,2017-02-12,,Lady in the Lake,https://www.imdb.com/title/tt0039545/,movie,6.6,105,1946,"Crime, Film-Noir, Mystery, Thriller",4665,1946-12-19,Robert Montgomery
20,tt0040746,2017-02-12,2017-02-12,,Rope,https://www.imdb.com/title/tt0040746/,movie,8.0,80,1948,"Crime, Drama, Mystery, Thriller",118236,1948-08-26,Alfred Hitchcock
21,tt0042436,2017-02-12,2017-02-12,,Les enfants terribles,https://www.imdb.com/title/tt0042436/,movie,7.1,105,1950,Drama,3350,1950-03-29,Jean-Pierre Melville
22,tt0042876,2017-02-12,2017-02-12,,Rashômon,https://www.imdb.com/title/tt0042876/,movie,8.2,88,1950,"Crime, Drama, Mystery",139638,1950-08-26,Akira Kurosawa
23,tt0043278,2017-02-12,2017-02-12,,An American in Paris,https://www.imdb.com/title/tt0043278/,movie,7.2,114,1951,"Drama, Musical, Romance",28025,1951-08-26,Vincente Minnelli
24,tt0052357,2017-02-12,2017-02-12,,Vertigo,https://www.imdb.com/title/tt0052357/,movie,8.3,128,1958,"Mystery, Romance, Thriller",330971,1958-05-09,Alfred Hitchcock
25,tt0052893,2017-02-12,2017-02-12,,Hiroshima mon amour,https://www.imdb.com/title/tt0052893/,movie,7.9,90,1959,"Drama, Romance",25573,1959-05-08,Alain Resnais
26,tt0053270,2017-02-12,2017-02-12,,Shadows,https://www.imdb.com/title/tt0053270/,movie,7.3,81,1958,"Drama, Romance",9266,1958-11-30,John Cassavetes
27,tt0051744,2017-02-12,2017-02-12,,House on Haunted Hill,https://www.imdb.com/title/tt0051744/,movie,6.9,75,1959,"Horror, Mystery",21091,1959-01-14,William Castle
28,tt0053779,2017-02-12,2017-02-12,,La dolce vita,https://www.imdb.com/title/tt0053779/,movie,8.0,174,1960,"Comedy, Drama",60346,1960-02-03,Federico Fellini
29,tt0053472,2017-02-12,2017-02-12,,À bout de souffle,https://www.imdb.com/title/tt0053472/,movie,7.9,90,1960,"Crime, Drama",66447,1960-03-16,Jean-Luc Godard
30,tt0053619,2017-02-12,2017-02-12,,L'avventura,https://www.imdb.com/title/tt0053619/,movie,7.9,144,1960,"Drama, Mystery",23684,1960-05-15,Michelangelo Antonioni
31,tt0054494,2017-02-12,2017-02-12,,Zazie dans le métro,https://www.imdb.com/title/tt0054494/,movie,7.0,93,1960,"Comedy, Fantasy",4888,1960-10-28,Louis Malle
32,tt0055032,2017-02-12,2017-02-12,,Jules et Jim,https://www.imdb.com/title/tt0055032/,movie,7.8,105,1962,"Drama, Romance",34199,1962-01-23,François Truffaut
33,tt0056663,2017-02-12,2017-02-12,,Vivre sa vie: Film en douze tableaux,https://www.imdb.com/title/tt0056663/,movie,8.0,80,1962,Drama,24263,1962-08-28,Jean-Luc Godard
34,tt0056444,2017-02-12,2017-02-12,,Sanma no aji,https://www.imdb.com/title/tt0056444/,movie,8.1,113,1962,Drama,6977,1962-11-18,Yasujirô Ozu
35,tt0056801,2017-02-12,2017-02-12,,8½,https://www.imdb.com/title/tt0056801/,movie,8.0,138,1963,Drama,101224,1963-02-13,Federico Fellini
36,tt0057490,2017-02-12,2017-02-12,,The Servant,https://www.imdb.com/title/tt0057490/,movie,7.9,116,1963,Drama,8298,1963-09-03,Joseph Losey
37,tt0057578,2017-02-12,2017-02-12,,This Sporting Life,https://www.imdb.com/title/tt0057578/,movie,7.7,134,1963,"Drama, Sport",5439,1963-02-07,Lindsay Anderson
38,tt0059159,2017-02-12,2017-02-12,,Etsuraku,https://www.imdb.com/title/tt0059159/,movie,7.0,104,1965,"Crime, Drama",1373,1965-08-29,Nagisa Ôshima
39,tt0059646,2017-02-12,2017-02-12,,Repulsion,https://www.imdb.com/title/tt0059646/,movie,7.7,105,1965,"Drama, Horror, Thriller",44989,1965-05-19,Roman Polanski
40,tt0060827,2017-02-12,2017-02-12,,Persona,https://www.imdb.com/title/tt0060827/,movie,8.1,85,1966,"Drama, Thriller",90406,1966-10-18,Ingmar Bergman
41,tt0058642,2017-02-12,2017-02-12,,Tini zabutykh predkiv,https://www.imdb.com/title/tt0058642/,movie,8.0,97,1964,"Drama, Music, Romance",5395,1964-09-04,Sergei Parajanov
42,tt0059079,2017-02-12,2017-02-12,,Da zui xia,https://www.imdb.com/title/tt0059079/,movie,7.0,91,1966,"Action, Crime",3367,1966-04-07,King Hu
43,tt0060176,2017-02-12,2017-02-12,,Blowup,https://www.imdb.com/title/tt0060176/,movie,7.6,111,1966,"Drama, Mystery, Thriller",52008,1966-12-18,Michelangelo Antonioni
44,tt0060138,2017-02-12,2017-02-12,,Au hasard Balthazar,https://www.imdb.com/title/tt0060138/,movie,7.9,95,1966,Drama,15815,1966-05-15,Robert Bresson
45,tt0060959,2017-02-12,2017-02-12,,Sedmikrásky,https://www.imdb.com/title/tt0060959/,movie,7.4,74,1966,Comedy,8705,1966-12-30,Vera Chytilová
46,tt0060802,2017-02-12,2017-02-12,,Ostre sledované vlaky,https://www.imdb.com/title/tt0060802/,movie,7.7,92,1966,"Comedy, Drama, Romance, War",10364,1966-10-16,Jirí Menzel
47,tt0062138,2017-02-12,2017-02-12,,Point Blank,https://www.imdb.com/title/tt0062138/,movie,7.4,92,1967,"Crime, Drama, Thriller",17083,1967-08-30,John Boorman
48,tt0061395,2017-02-12,2017-02-12,,Belle de jour,https://www.imdb.com/title/tt0061395/,movie,7.7,100,1967,Drama,36785,1967-05-24,Luis Buñuel
49,tt0061537,2017-02-12,2017-02-12,,"Csillagosok, katonák",https://www.imdb.com/title/tt0061537/,movie,7.6,90,1967,"Drama, War",2969,1967-11-04,Miklós Jancsó
50,tt0061882,2017-02-12,2017-02-12,,Koroshi no rakuin,https://www.imdb.com/title/tt0061882/,movie,7.3,91,1967,"Action, Crime, Drama, Thriller",7191,1967-06-15,Seijun Suzuki
51,tt0062155,2017-02-12,2017-02-12,,Privilege,https://www.imdb.com/title/tt0062155/,movie,6.9,103,1967,"Comedy, Drama, Music, Sci-Fi",999,1967-02-28,Peter Watkins
52,tt0063442,2017-02-12,2017-02-12,,Planet of the Apes,https://www.imdb.com/title/tt0063442/,movie,8.0,112,1968,"Adventure, Sci-Fi",158159,1968-02-08,Franklin J. Schaffner
53,tt0062622,2017-02-12,2017-02-12,,2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/,movie,8.3,149,1968,"Adventure, Sci-Fi",558421,1968-04-02,Stanley Kubrick
54,tt0064116,2017-02-12,2017-02-12,,C'era una volta il West,https://www.imdb.com/title/tt0064116/,movie,8.5,165,1968,Western,279359,1968-12-20,Sergio Leone
55,tt0064975,2017-02-12,2017-02-12,,Shinjû: Ten no Amijima,https://www.imdb.com/title/tt0064975/,movie,7.7,142,1969,Drama,1937,1969-05-24,Masahiro Shinoda
56,tt0064828,2017-02-12,2017-02-12,,Porcile,https://www.imdb.com/title/tt0064828/,movie,6.7,99,1969,Drama,2659,1969-08-30,Pier Paolo Pasolini
