Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
66,tt0078788,2016-03-12,2016-03-12,,Apocalypse Now,https://www.imdb.com/title/tt0078788/,movie,8.4,147,1979,"Drama, Mystery, War",563499,1979-05-19,Francis Ford Coppola
67,tt0072684,2016-03-12,2016-03-12,,Barry Lyndon,https://www.imdb.com/title/tt0072684/,movie,8.1,185,1975,"Adventure, Drama, History, War",136455,1975-12-11,Stanley Kubrick
68,tt0028950,2016-03-12,2016-03-12,,La grande illusion,https://www.imdb.com/title/tt0028950/,movie,8.1,113,1937,"Drama, War",31633,1937-06-08,Jean Renoir
69,tt0006864,2016-03-12,2016-03-12,,Intolerance: Love's Struggle Throughout the Ages,https://www.imdb.com/title/tt0006864/,movie,7.8,163,1916,"Drama, History",13119,1916-09-05,D.W. Griffith
70,tt0028445,2016-03-12,2016-03-12,,Partie de campagne,https://www.imdb.com/title/tt0028445/,short,7.7,40,1946,"Short, Comedy, Drama, Romance",5250,1946-09-21,Jean Renoir
71,tt0062136,2016-03-12,2016-03-12,,Playtime,https://www.imdb.com/title/tt0062136/,movie,7.9,115,1967,Comedy,17261,1967-12-16,Jacques Tati
72,tt0038890,2016-03-12,2016-03-12,,Roma città aperta,https://www.imdb.com/title/tt0038890/,movie,8.1,103,1945,"Drama, Thriller, War",21075,1945-09-24,Roberto Rossellini
73,tt0047469,2016-03-12,2016-03-12,,Senso,https://www.imdb.com/title/tt0047469/,movie,7.5,123,1954,"Drama, History, Romance, War",5549,1954-09-02,Luchino Visconti
74,tt0027977,2016-03-12,2016-03-12,,Modern Times,https://www.imdb.com/title/tt0027977/,movie,8.5,87,1936,"Comedy, Drama, Family, Romance",198081,1936-02-05,Charles Chaplin
75,tt0103190,2016-03-12,2016-03-12,,Van Gogh,https://www.imdb.com/title/tt0103190/,movie,7.2,158,1991,"Biography, Drama",2473,1991-10-30,Maurice Pialat
76,tt0050105,2016-03-12,2016-03-12,,An Affair to Remember,https://www.imdb.com/title/tt0050105/,movie,7.5,115,1957,"Drama, Romance",26150,1957-07-11,Leo McCarey
77,tt0060107,2016-03-12,2016-03-12,,Andrey Rublev,https://www.imdb.com/title/tt0060107/,movie,8.2,205,1966,"Biography, Drama, History",40771,1966-12-31,Andrei Tarkovsky
78,tt0025746,2016-03-12,2016-03-12,,The Scarlet Empress,https://www.imdb.com/title/tt0025746/,movie,7.6,104,1934,"Drama, History, Romance",5319,1934-05-09,Josef von Sternberg
79,tt0047445,2016-03-12,2016-03-12,,Sanshô dayû,https://www.imdb.com/title/tt0047445/,movie,8.4,124,1954,Drama,12971,1954-03-31,Kenji Mizoguchi
80,tt0287467,2016-03-12,2016-03-12,,Hable con ella,https://www.imdb.com/title/tt0287467/,movie,7.9,112,2002,"Drama, Mystery, Romance",99049,2002-03-15,Pedro Almodóvar
81,tt0063415,2016-03-12,2016-03-12,,The Party,https://www.imdb.com/title/tt0063415/,movie,7.6,99,1968,Comedy,35483,1968-04-04,Blake Edwards
82,tt0022458,2016-03-12,2016-03-12,,Tabu: A Story of the South Seas,https://www.imdb.com/title/tt0022458/,movie,7.5,86,1931,"Drama, Romance, Adventure",4532,1931-03-18,F.W. Murnau
83,tt0045537,2016-03-12,2016-03-12,,The Band Wagon,https://www.imdb.com/title/tt0045537/,movie,7.5,112,1953,"Comedy, Musical, Romance",9257,1953-07-09,Vincente Minnelli
84,tt0047522,2016-03-12,2016-03-12,,A Star Is Born,https://www.imdb.com/title/tt0047522/,movie,7.6,154,1954,"Drama, Musical, Romance",14460,1954-09-29,George Cukor
85,tt0046487,2016-03-12,2016-03-12,,Les vacances de Monsieur Hulot,https://www.imdb.com/title/tt0046487/,movie,7.5,114,1953,Comedy,15437,1953-02-25,Jacques Tati
86,tt0056825,2016-03-12,2016-03-12,,America America,https://www.imdb.com/title/tt0056825/,movie,7.8,174,1963,Drama,4498,1963-12-15,Elia Kazan
87,tt0045361,2016-03-12,2016-03-12,,El,https://www.imdb.com/title/tt0045361/,movie,8.0,92,1953,"Drama, Romance",4815,1953-04-30,Luis Buñuel
88,tt0048261,2016-03-12,2016-03-12,,Kiss Me Deadly,https://www.imdb.com/title/tt0048261/,movie,7.6,106,1955,"Crime, Film-Noir, Mystery, Sci-Fi, Thriller",17139,1955-04-20,Robert Aldrich
89,tt0087843,2016-03-12,2016-03-12,,Once Upon a Time in America,https://www.imdb.com/title/tt0087843/,movie,8.4,229,1984,"Crime, Drama",286032,1984-05-20,Sergio Leone
90,tt0031514,2016-03-12,2016-03-12,,Le jour se lève,https://www.imdb.com/title/tt0031514/,movie,7.8,93,1939,"Crime, Drama, Romance, Thriller",6104,1939-06-09,Marcel Carné
91,tt0040536,2016-03-12,2016-03-12,,Letter from an Unknown Woman,https://www.imdb.com/title/tt0040536/,movie,8.0,87,1948,"Drama, Romance",10201,1948-04-28,Max Ophüls
92,tt0055093,2016-03-12,2016-03-12,,Lola,https://www.imdb.com/title/tt0055093/,movie,7.6,90,1961,"Drama, Romance",4474,1961-03-03,Jacques Demy
93,tt0079522,2016-03-12,2016-03-12,,Manhattan,https://www.imdb.com/title/tt0079522/,movie,7.9,96,1979,"Comedy, Drama, Romance",123989,1979-04-18,Woody Allen
94,tt0166924,2016-03-12,2016-03-12,,Mulholland Dr.,https://www.imdb.com/title/tt0166924/,movie,7.9,147,2001,"Drama, Mystery, Thriller",297288,2001-05-16,David Lynch
95,tt0064612,2016-03-12,2016-03-12,,Ma nuit chez Maud,https://www.imdb.com/title/tt0064612/,movie,8.0,110,1969,"Comedy, Drama, Romance",9304,1969-05-15,Éric Rohmer
96,tt0048434,2016-03-12,2016-03-12,,Nuit et brouillard,https://www.imdb.com/title/tt0048434/,short,8.6,32,1956,"Documentary, Short, History, War",15916,1956-01-31,Alain Resnais
97,tt0015864,2016-03-12,2016-03-12,,The Gold Rush,https://www.imdb.com/title/tt0015864/,movie,8.2,95,1925,"Adventure, Comedy, Drama, Family",92008,1925-06-26,Charles Chaplin
98,tt0023427,2016-03-12,2016-03-12,,Scarface,https://www.imdb.com/title/tt0023427/,movie,7.8,93,1932,"Action, Crime, Drama, Film-Noir, Thriller",23487,1932-03-31,"Richard Rosson, Howard Hawks"
99,tt0040522,2016-03-12,2016-03-12,,Ladri di biciclette,https://www.imdb.com/title/tt0040522/,movie,8.3,89,1948,Drama,132323,1948-11-24,Vittorio De Sica
100,tt0018192,2016-03-12,2016-03-12,,Napoléon vu par Abel Gance,https://www.imdb.com/title/tt0018192/,movie,8.1,240,1927,"Biography, Drama, History, War",6384,1927-04-07,Abel Gance
