Const,Title,Sum
tt0167261,The Lord of the Rings: The Two Towers,13.409007013658176
tt0478304,The Tree of Life,13.380837232228712
tt1588895,Loong Boonmee raleuk chat,13.367729831144466
tt0085859,Local Hero,13.267180744297448
tt0059319,The Ipcress File,13.256658595641646
tt0032910,Pinocchio,13.127615062761507
tt0057578,This Sporting Life,12.93866943866944
tt0405094,Das Leben der Anderen,12.90131576434155
tt0113247,La haine,12.865824015556637
tt0023969,Duck Soup,12.86381354330008
tt0028950,La grande illusion,12.783666385214374
tt1032846,"4 luni, 3 saptamâni si 2 zile",12.729719459663238
tt0116282,Fargo,12.69621212121212
tt0095765,Nuovo Cinema Paradiso,12.66046238972648
tt0075148,Rocky,12.66044912329742
tt0025316,It Happened One Night,12.583987511290513
tt9681728,Malchik russkiy,12.5
tt0025318,It's a Gift,12.5
tt1300854,Iron Man Three,12.5
tt0019379,Show People,12.5
tt0042650,Kon-Tiki,12.5
tt0111689,What Happened Was...,12.5
tt0038760,Muzi bez krídel,12.5
tt0091605,Der Name der Rose,12.5
tt0090206,3 hommes et un couffin,12.5
tt0070359,La maman et la putain,12.49031475609844
tt0110428,The Madness of King George,12.394957983193278
tt0097216,Do the Right Thing,12.357135472054827
tt0059749,The Spy Who Came In from the Cold,12.307692307692307
tt0082158,Chariots of Fire,12.306501547987615
tt1527186,Melancholia,12.272727272727273
tt0100234,Nema-ye Nazdik,12.21838971838972
tt0051036,Sweet Smell of Success,12.204342272155452
tt0049902,Un condamné à mort s'est échappé ou Le vent souffle où il veut,12.182572390175935
tt0107290,Jurassic Park,12.14655172413793
tt0211915,Le fabuleux destin d'Amélie Poulain,12.030664640695816
tt0055032,Jules et Jim,11.99027111891722
tt0317248,Cidade de Deus,11.918886198547215
tt0084805,Tootsie,11.89029959810011
tt0069762,Badlands,11.817659016744237
tt0097239,Driving Miss Daisy,11.76923076923077
tt1345836,The Dark Knight Rises,11.644736842105264
tt0063522,Rosemary's Baby,11.610576923076923
tt0042804,Los olvidados,11.599517906336088
tt0112585,The Brothers McMullen,11.538461538461538
tt0048281,The Ladykillers,11.538461538461538
tt0283431,Safar e Ghandehar,11.538461538461538
tt2293640,Minions,11.538461538461538
tt7901786,Kamion,11.538461538461538
tt0044009,The Sea Around Us,11.538461538461538
tt0052708,Les cousins,11.538461538461538
tt0092090,Thérèse,11.538461538461538
tt0013086,"Dr. Mabuse, der Spieler",11.538461538461538
tt0112573,Braveheart,11.524717129000836
tt0044706,High Noon,11.502923976608187
tt0024216,King Kong,11.382476867957163
tt0087884,"Paris, Texas",11.357599966763491
tt0118799,La vita è bella,11.34038752976835
tt0032599,His Girl Friday,11.271070420124925
tt0050634,Letyat zhuravli,11.209239130434781
tt0107822,The Piano,11.100555807622504
tt0029947,Bringing Up Baby,11.079545454545455
tt0031725,Ninotchka,11.069179032774635
tt5074352,Dangal,11.066398390342052
tt8075192,Manbiki kazoku,11.046453546453547
tt0118715,The Big Lebowski,10.965278131433486
tt0094947,Dangerous Liaisons,10.943396226415095
tt0061996,Mouchette,10.878323932312652
tt0104782,Léolo,10.872093023255815
tt0081505,The Shining,10.823077382813219
tt0029583,Snow White and the Seven Dwarfs,10.812604297037966
tt0042040,Whisky Galore!,10.795454545454547
tt0052995,El Lazarillo de Tormes,10.714285714285714
tt0095801,Out of Rosenheim,10.714285714285714
tt0040481,It Always Rains on Sunday,10.714285714285714
tt3498820,Captain America: Civil War,10.714285714285714
tt0033563,Dumbo,10.714285714285714
tt0043809,Miracolo a Milano,10.714285714285714
tt0046008,The Living Desert,10.714285714285714
